Epiweeks,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
Week 1 + Week 2,25.81269073486328,-82.03217315673828,-80.18466186523438,-82.78759765625,-31.352937698364258,-53.97591781616211,-54.02052307128906,-45.55744934082031,55.203590393066406,-51.215309143066406,-76.5634536743164,-56.895042419433594,6.200443744659424,-61.23845672607422,-12.26447868347168,-54.03012466430664,-52.384124755859375,-19.417007446289062,-26.570375442504883,150.63018798828125,-41.293968200683594,26.8562068939209,-9.123272895812988,-73.81441497802734,-70.50733947753906,-32.50563049316406,-16.620075225830078,76.998779296875,370.2100524902344,-49.011260986328125,-62.96118927001953,-27.330425262451172,-66.01349639892578,-11.107478141784668,-23.674482345581055,-34.7128791809082,-56.0036735534668,-33.560516357421875,-33.03700256347656,-34.548484802246094,-44.21443176269531,-98.43341064453125,-18.868959426879883,-18.868959426879883,88.43097686767578
Week 3 + Week 4,49.06439971923828,-75.28789520263672,-81.95507049560547,-81.7210693359375,-35.936561584472656,-41.126651763916016,-12.8316011428833,-56.01413345336914,-44.36582565307617,-28.152267456054688,-92.17996215820312,-76.8738784790039,54.92012023925781,0.6347213983535767,-34.89581298828125,32.75774002075195,-0.9178265333175659,-15.500273704528809,-38.40692901611328,124.08930969238281,-68.25810241699219,-38.843109130859375,-36.66840744018555,-63.805938720703125,-63.5045051574707,-24.22283363342285,-10.526185989379883,30.545366287231445,45.60673904418945,-46.12263488769531,-32.70460510253906,-28.728792190551758,-51.079261779785156,8.532240867614746,-31.710845947265625,-23.313039779663086,-34.02443313598633,-1.0092377662658691,-34.15391540527344,-41.24279022216797,-25.966442108154297,142.69566345214844,-26.7021541595459,-26.7021541595459,-59.9391975402832
Week 5 + Week 6,-31.518400192260742,13.526251792907715,-1.0487728118896484,5.188738822937012,25.472145080566406,-37.762325286865234,47.179115295410156,-60.49768829345703,65.40186309814453,8.305497169494629,-62.824745178222656,-21.801218032836914,-26.671031951904297,156.83473205566406,10.714186668395996,30.698549270629883,-30.77626609802246,18.72505760192871,-70.3701171875,-19.593351364135742,-10.548577308654785,29.934114456176758,20.03132438659668,-67.47376251220703,-72.09512329101562,-8.123397827148438,-5.114173889160156,-50.73377990722656,-43.288612365722656,-44.386322021484375,-40.777671813964844,-7.468912124633789,-62.139076232910156,-13.564643859863281,-16.95970344543457,-9.2731294631958,-35.11933517456055,-25.98344612121582,-28.22044563293457,-46.42987060546875,-31.41400909423828,16.639781951904297,-16.464614868164062,-16.464614868164062,-45.92472839355469
Week 7 + Week 8,-25.07988739013672,-11.60035514831543,-4.972020626068115,-0.15212753415107727,-2.8502445220947266,-40.64286804199219,-22.383024215698242,19.555248260498047,-2.0054731369018555,93.22223663330078,-51.62827682495117,-17.119483947753906,-1.9884393215179443,-8.833466529846191,52.72428512573242,38.59832763671875,11.334026336669922,-5.1384196281433105,-80.11569213867188,-39.379737854003906,108.25261688232422,1.9407272338867188,26.866535186767578,-83.40581512451172,-80.78096008300781,4.7028422355651855,-26.05477523803711,-3.701329231262207,-37.618812561035156,4.594004154205322,-55.59403991699219,20.491701126098633,-66.07088470458984,24.758514404296875,0.19769668579101562,-20.09257698059082,-45.9488639831543,-21.772783279418945,47.1109504699707,19.280887603759766,14.9114990234375,16.559707641601562,31.557727813720703,31.557727813720703,-35.81295394897461
Week 9 + Week 10,-0.7839471697807312,-30.401857376098633,-71.7041244506836,-49.405635833740234,7.82623291015625,-64.44816589355469,-14.7088041305542,58.56312561035156,67.59880828857422,71.66004943847656,-71.35636138916016,-49.23420715332031,60.63521194458008,60.236698150634766,114.85591888427734,91.65689849853516,69.9326171875,8.990959167480469,206.33181762695312,2.6910853385925293,81.02085876464844,36.1287956237793,15.209527969360352,-27.439577102661133,-26.874982833862305,145.1483917236328,75.80455780029297,-57.478939056396484,-70.66929626464844,119.57981872558594,15.601086616516113,23.671432495117188,-15.491521835327148,141.61952209472656,114.09327697753906,17.374467849731445,-20.40146255493164,14.131891250610352,52.92805480957031,86.09806060791016,91.138916015625,-38.23225402832031,68.10531616210938,68.10531616210938,790.5689697265625
Week 11 + Week 12,-11.171116828918457,-2.5064697265625,-5.6742424964904785,-0.9918654561042786,-4.594799995422363,-54.35159683227539,-55.272212982177734,-46.093143463134766,45.57851791381836,76.26227569580078,-42.400665283203125,-13.7445707321167,-4.220082759857178,-59.521549224853516,0.5681514143943787,-63.845645904541016,-55.1015739440918,-6.323965549468994,28.040279388427734,-52.57368850708008,5.894326210021973,-15.852240562438965,-10.979634284973145,-44.00569152832031,-52.3676872253418,34.389686584472656,4.3854594230651855,85.25263214111328,-50.20839309692383,67.92375183105469,-12.940591812133789,20.652877807617188,-44.88801956176758,-17.821889877319336,14.055395126342773,3.5985827445983887,-61.360084533691406,3.2523155212402344,-17.36297035217285,-3.010869026184082,95.36279296875,-65.90974426269531,-7.295900344848633,-7.295900344848633,24.542346954345703
Week 13 + Week 14,-33.74137496948242,-2.221054792404175,-13.676688194274902,24.099422454833984,-2.460679769515991,-48.79792404174805,-30.515274047851562,-18.844345092773438,-86.2160873413086,-38.73230743408203,24.320404052734375,4.248115062713623,2.409057378768921,10.052997589111328,-31.742219924926758,1.4839046001434326,-22.237499237060547,29.663604736328125,-66.20169067382812,-8.847432136535645,37.74045181274414,-63.22495651245117,-40.678627014160156,-69.87386322021484,-73.31706237792969,-0.6498575210571289,-29.474502563476562,-27.004749298095703,44.67205047607422,39.972496032714844,-42.707908630371094,38.735877990722656,-48.12173080444336,-26.8597354888916,30.753921508789062,14.022159576416016,-19.69972038269043,-24.93378448486328,-14.369583129882812,26.712465286254883,26.355125427246094,11.025154113769531,-9.073561668395996,-9.073561668395996,-44.982574462890625
Week 15 + Week 16,-33.502113342285156,100.55414581298828,72.79515838623047,113.9926986694336,10.344276428222656,-44.46156311035156,-46.40400695800781,-10.759581565856934,-34.27554702758789,-39.937416076660156,33.42752456665039,-7.264297008514404,126.7485580444336,55.52296447753906,-67.21974182128906,-13.323739051818848,-21.71218490600586,25.401596069335938,-32.7388801574707,-18.15956687927246,-46.52520751953125,30.16690444946289,55.51637268066406,-43.45348358154297,-51.12611770629883,229.4699249267578,-51.730133056640625,-63.142574310302734,-42.348915100097656,-6.255740165710449,-55.90453338623047,-8.514324188232422,-64.28369140625,52.74702835083008,100.44241333007812,-29.75041961669922,-44.41472625732422,-44.51679611206055,50.90766143798828,88.52674102783203,39.37609100341797,-9.183967590332031,72.86832427978516,72.86832427978516,59.918128967285156
Week 17 + Week 18,-25.14592933654785,64.82276153564453,111.98921203613281,125.56578063964844,-38.147308349609375,24.657320022583008,85.38227081298828,116.08092498779297,17.496891021728516,18.50710105895996,63.5921745300293,-2.398283004760742,21.70713233947754,51.99638366699219,-23.83467674255371,146.76876831054688,186.93438720703125,-8.946406364440918,63.79816436767578,40.26927947998047,13.025774002075195,-21.60539436340332,-40.26206970214844,-20.07263946533203,-78.65885925292969,-8.418119430541992,-70.45980834960938,332.93756103515625,71.32066345214844,-25.32599639892578,-9.184926986694336,-59.04303741455078,-51.809669494628906,118.90955352783203,-4.491048812866211,-73.33602905273438,4.531145095825195,-48.83170700073242,163.11114501953125,147.92330932617188,-14.12729263305664,97.58269500732422,21.607446670532227,21.607446670532227,-45.59029006958008
Week 19 + Week 20,-18.992565155029297,-3.3795928955078125,31.6013240814209,38.51002883911133,24.052358627319336,-29.850229263305664,-40.05570983886719,-44.43424606323242,27.075960159301758,-53.31898880004883,-1.3654354810714722,-7.440011501312256,65.44906616210938,-27.306039810180664,-51.76897048950195,-28.987403869628906,-32.32624053955078,12.325446128845215,-46.914573669433594,-63.00035095214844,-67.92912292480469,3.6205575466156006,-6.748696804046631,-47.94633865356445,-55.107975006103516,-46.64289855957031,-8.895415306091309,11.294281005859375,-72.90298461914062,-15.501749038696289,-7.706904411315918,-15.471796035766602,-41.632789611816406,-33.57380676269531,-42.175968170166016,-11.94303035736084,8.15534782409668,-19.80276107788086,-57.71595764160156,-37.15168380737305,-18.62291717529297,-74.91912841796875,-55.20549392700195,-55.20549392700195,60.97136688232422
